step,step_loss,lr
333,0.172603,0.00009866
334,0.134530,0.00009864
335,0.157695,0.00009862
336,0.193929,0.00009860
337,0.269230,0.00009858
338,0.103864,0.00009856
339,0.099220,0.00009854
340,0.225471,0.00009851
341,0.300890,0.00009849
342,0.199101,0.00009847
343,0.074057,0.00009845
344,0.185861,0.00009843
345,0.173332,0.00009841
346,0.168344,0.00009839
347,0.302210,0.00009836
348,0.118959,0.00009834
349,0.123126,0.00009832
350,0.048103,0.00009830
351,0.194190,0.00009827
352,0.089192,0.00009825
353,0.214916,0.00009823
354,0.208401,0.00009820
355,0.098870,0.00009818
356,0.140665,0.00009816
357,0.144525,0.00009813
358,0.135719,0.00009811
359,0.150709,0.00009809
360,0.128831,0.00009806
361,0.134507,0.00009804
362,0.156614,0.00009801
363,0.151078,0.00009799
364,0.088380,0.00009797
365,0.103990,0.00009794
366,0.320258,0.00009792
367,0.230470,0.00009789
368,0.180649,0.00009787
369,0.084767,0.00009784
370,0.167305,0.00009782
371,0.055905,0.00009779
372,0.239210,0.00009776
373,0.146244,0.00009774
374,0.091649,0.00009771
375,0.171572,0.00009769
376,0.117769,0.00009766
377,0.191043,0.00009763
378,0.032747,0.00009761
379,0.099034,0.00009758
380,0.159712,0.00009755
381,0.224529,0.00009753
382,0.197169,0.00009750
383,0.211426,0.00009747
384,0.101811,0.00009744
385,0.187931,0.00009742
386,0.134640,0.00009739
387,0.256397,0.00009736
388,0.072481,0.00009733
389,0.083098,0.00009730
390,0.192613,0.00009728
391,0.142166,0.00009725
392,0.176791,0.00009722
393,0.202843,0.00009719
394,0.229411,0.00009716
395,0.264014,0.00009713
396,0.132529,0.00009710
397,0.100355,0.00009707
398,0.172327,0.00009704
399,0.071030,0.00009701
400,0.135344,0.00009698
401,0.140650,0.00009695
402,0.161643,0.00009692
403,0.171790,0.00009689
404,0.138418,0.00009686
405,0.180474,0.00009683
406,0.355490,0.00009680
407,0.099731,0.00009677
408,0.254067,0.00009674
409,0.131198,0.00009671
410,0.130878,0.00009668
411,0.284651,0.00009665
412,0.154752,0.00009662
413,0.320404,0.00009658
414,0.231830,0.00009655
415,0.213588,0.00009652
